path,scenario,trial,nr_r,success,runtime_s,exit_code,timeout,memory_exceeded,memory_peak_mb
experiments/evaluations/LGP/FMB/3objs/s003/trial_03_nr/lgp_combined/trial_meta.json,s003,trial_03,nr,False,73.96,-9,False,True,16109.81
experiments/evaluations/LGP/FMB/3objs/s003/trial_04_nr/lgp_combined/trial_meta.json,s003,trial_04,nr,False,224.0,-9,False,True,16002.89
experiments/evaluations/LGP/FMB/3objs/s003/trial_01_nr/lgp_combined/trial_meta.json,s003,trial_01,nr,False,230.26,-9,False,True,16007.77
experiments/evaluations/LGP/FMB/3objs/s003/trial_07_nr/lgp_combined/trial_meta.json,s003,trial_07,nr,False,65.01,-9,False,True,16095.97
experiments/evaluations/LGP/FMB/3objs/s002/trial_06_nr/lgp_combined/trial_meta.json,s002,trial_06,nr,False,98.35,-9,False,True,16005.07
experiments/evaluations/LGP/FMB/3objs/s002/trial_02_r/lgp_combined/trial_meta.json,s002,trial_02,r,False,163.61,-9,False,True,16019.09
experiments/evaluations/LGP/FMB/3objs/s002/trial_08_nr/lgp_combined/trial_meta.json,s002,trial_08,nr,False,64.75,-9,False,True,16060.6
experiments/evaluations/LGP/FMB/3objs/s002/trial_04_r/lgp_combined/trial_meta.json,s002,trial_04,r,False,300.86,-9,True,False,8430.29
experiments/evaluations/LGP/FMB/3objs/s002/trial_07_r/lgp_combined/trial_meta.json,s002,trial_07,r,False,300.75,-9,True,False,8375.43
experiments/evaluations/LGP/FMB/3objs/s002/trial_08_r/lgp_combined/trial_meta.json,s002,trial_08,r,False,300.83,-9,True,False,8328.53
experiments/evaluations/LGP/FMB/3objs/s002/trial_05_nr/lgp_combined/trial_meta.json,s002,trial_05,nr,False,98.31,-9,False,True,16010.7
experiments/evaluations/LGP/FMB/3objs/s002/trial_06_r/lgp_combined/trial_meta.json,s002,trial_06,r,False,300.92,-9,True,False,8387.3
experiments/evaluations/LGP/FMB/3objs/s002/trial_03_r/lgp_combined/trial_meta.json,s002,trial_03,r,False,154.25,-9,False,True,16056.59
experiments/evaluations/LGP/FMB/3objs/s002/trial_10_r/lgp_combined/trial_meta.json,s002,trial_10,r,False,154.72,-9,False,True,16107.84
